id,jmbg,ime,prezime,pol,godine,opstina,datum_rodjenja,adresa,telefon,email,prihod,jmbg_format,pib,institucija,postanski_broj,status,napomena
48,04041977835484,Željko,Savić,ženski,49,Zrenjanin,1.6.1986.,Nemaninjina 144,061/4110434,željko.savić@eunet.rs,226829,04.04.19778-35484,,,85599,aktivan,
49,17021960763501,Jasmina,Filipović,muški,24,Bajina Bašta,7.5.1978.,Bulevar revolucije 191,062/9446912,jasmina_filipović@outlook.com,51861,17.02.19607-63501,,,34482,aktivan,
50,18011959808353,Ivan,Bošković,muški,58,Zrenjanin,18.1.1980.,Mihajla Pupina 137,066/3947496,ivan-bošković46@ptt.rs,110526,18.01.19598-08353,274762655,,20378,neaktivan,
51,21011982811478,Aleksandar,Vuković,ženski,34,Novi Pazar,20.5.1971.,Kralja Aleksandra 166,069/7924374,aleksandar.vuković@outlook.com,123736,21.01.19828-11478,447204385,,83823,neaktivan,
52,13021992815188,Biljana,Tomić,muški,46,Kosjerić,1.2.1983.,Kneza Mihaila 107,066/9049707,biljana.tomić@yahoo.com,35983,13.02.19928-15188,,,30385,aktivan,
53,09051954769191,Borislav,Mitić,ženski,52,Bor,25.11.2002.,Mihajla Pupina 195,069/7958693,borislav.mitić@yahoo.com,76354,09.05.19547-69191,741034811,,45776,aktivan,
54,05101965773265,Aleksandar,Milošević,muški,20,Požarevac,9.12.1996.,Bulevar revolucije 112,065/6580829,aleksandar-milošević@outlook.com,216778,05.10.19657-73265,,,19370,aktivan,
55,24041969779584,Srđan,Stanković,muški,21,Kraljevo,20.9.1973.,Cara Lazara 2,063/2314493,srđan_stanković@yahoo.com,145319,24.04.19697-79584,,,58851,aktivan,Redovan korisnik usluga
56,20031989836948,Đorđe,Stanković,ženski,35,Bajina Bašta,8.11.2006.,Dušanova 194,063/1404310,đorđe.stanković26@outlook.com,114211,20.03.19898-36948,,,22223,aktivan,Redovan korisnik usluga
57,15091990755034,Nikola,Petrović,muški,20,Bajina Bašta,23.8.1981.,Cara Dušana 145,062/5469755,nikola.petrović93@gmail.com,57094,15.09.19907-55034,739474956,,64303,aktivan,Redovan korisnik usluga
58,24031957756432,Mladen,Mitić,ženski,50,Vranje,26.9.1979.,Vojvode Mišića 29,069/4527207,mladen_mitić78@ptt.rs,51275,24.03.19577-56432,,,58561,aktivan,Redovan korisnik usluga
59,19101954799638,Mladen,Mihajlović,muški,46,Aranđelovac,9.4.1978.,Jovana Cvijića 114,066/3222062,mladen.mihajlović@yahoo.com,185134,19.10.19547-99638,145895699,,71249,aktivan,Redovan korisnik usluga
60,09111969719351,Nenad,Stanković,ženski,66,Kraljevo,22.12.2006.,Dušanova 115,065/2782366,nenad_stanković@gmail.com,94449,09.11.19697-19351,9201822010,,78972,aktivan,Redovan korisnik usluga
61,20081973705073,Dušan,Stevanović,ženski,25,Sremska Mitrovica,17.7.1987.,Princa Evgenija 23,069/9629901,dušan.stevanović34@gmail.com,102406,20.08.19737-05073,,,96786,aktivan,Redovan korisnik usluga
62,25072001789059,Dušan,Kostić,ženski,52,Aranđelovac,17.8.1982.,Kružni put 184,060/7137620,dušan.kostić@outlook.com,210146,25.07.20017-89059,,,42759,aktivan,
63,18111990854846,Marko,Jovanović,muški,32,Valjevo,11.1.2006.,Nikole Tesle 138,069/6088939,marko.jovanović@outlook.com,90512,18.11.19908-54846,,,63593,neaktivan,Redovan korisnik usluga
64,03041966805717,Maja,Lazić,muški,28,Beograd,12.7.1990.,Milana Toplice 103,066/2226461,maja-lazić@eunet.rs,52033,03.04.19668-05717,263144754,Vlada Republike Srbije,73186,aktivan,
65,25091982837984,Jelena,Nikolić,muški,37,Šabac,22.9.1986.,Gavrila Principa 105,065/9675337,jelena-nikolić@yahoo.com,49615,25.09.19828-37984,851393717,,85655,aktivan,
66,08091960887397,Biljana,Stanković,muški,41,Sremska Mitrovica,19.12.1979.,Cara Lazara 176,064/8136169,biljana_stanković@outlook.com,109477,08.09.19608-87397,510169132,,29481,aktivan,Redovan korisnik usluga
67,27051996880047,Ivana,Filipović,ženski,59,Kragujevac,21.5.1976.,Svetog Save 111,063/8620760,ivana_filipović25@gmail.com,191238,27.05.19968-80047,082542552,,94376,neaktivan,Redovan korisnik usluga
68,14011969777811,Mladen,Savić,muški,56,Ivanjica,5.10.1994.,Branka Radičevića 136,060/3128802,mladen.savić@ptt.rs,177053,14.01.19697-77811,,Narodna skupština Republike Srbije,18378,aktivan,
69,04021983718491,Marko,Nikolić,muški,37,Novi Sad,19.10.1975.,Nemaninjina 18,065/1286237,marko.nikolić90@ptt.rs,99185,04.02.19837-18491,,,39698,aktivan,
70,02051995806438,Dejan,Kostić,ženski,43,Loznica,15.12.1995.,Cara Lazara 86,062/4965319,dejan-kostić@eunet.rs,66193,02.05.19958-06438,,,68473,aktivan,
71,02031954753244,Jelena,Savić,muški,56,Bajina Bašta,2.11.1988.,Vojvode Mišića 183,063/0683869,jelena.savić@gmail.com,77708,02.03.19547-53244,632068531,,56580,neaktivan,
72,08061954761695,Marija,Vuković,ženski,56,Pančevo,6.4.1998.,Gavrila Principa 146,069/5345624,marija-vuković92@ptt.rs,227633,08.06.19547-61695,9590226110,Agencija za privredne registre,53293,aktivan,
73,23121960748938,Marina,Matić,ženski,25,Vranje,10.3.2009.,Branka Radičevića 25,063/2838264,marina.matić@eunet.rs,173289,23.12.19607-48938,,,49240,aktivan,Redovan korisnik usluga
74,03011992715142,Mladen,Dragić,muški,50,Šabac,22.11.1989.,Takovska 152,065/9848811,mladen-dragić@eunet.rs,223537,03.01.19927-15142,126954240,,75911,aktivan,
75,27011990806105,Miroljub,Marković,ženski,27,Kosjerić,4.3.1993.,Vuka Karadžića 130,064/5148650,miroljub.marković@eunet.rs,166690,27.01.19908-06105,,,42080,neaktivan,
76,26101988799294,Miloš,Filipović,muški,40,Sombor,10.11.1994.,Stevana Sremca 16,063/2468520,miloš-filipović54@outlook.com,98460,26.10.19887-99294,,,59046,aktivan,
77,04121996725891,Nenad,Todorović,ženski,25,Arilje,6.2.1995.,Cara Dušana 178,061/7401377,nenad_todorović@gmail.com,172226,04.12.19967-25891,168049067,,62414,aktivan,
78,23021998883778,Ivan,Vuković,ženski,33,Prokuplje,15.2.2001.,Stevana Sremca 135,062/0970495,ivan_vuković67@outlook.com,215256,23.02.19988-83778,,,50056,aktivan,
79,14091973835854,Vladimir,Todorović,ženski,41,Bor,18.6.1992.,Svetog Save 125,066/1906324,vladimir.todorović49@eunet.rs,204346,14.09.19738-35854,,,95698,aktivan,
80,01071993781260,Snežana,Bošković,ženski,28,Leskovac,14.8.1987.,Nikole Tesle 187,063/3052018,snežana.bošković40@ptt.rs,203085,01.07.19937-81260,,,99984,neaktivan,
81,13021980807113,Ivan,Stanković,ženski,51,Kraljevo,12.2.2005.,Mihajla Pupina 131,062/4640009,ivan_stanković37@gmail.com,159687,13.02.19808-07113,941399747,Republički zavod za statistiku,41135,aktivan,
82,02031987828969,Miloš,Ilić,ženski,31,Zaječar,21.4.1978.,Stevana Sremca 125,069/6820486,miloš.ilić5@ptt.rs,88248,02.03.19878-28969,149489052,,54411,aktivan,Redovan korisnik usluga
83,28051992845487,Dušan,Matić,muški,23,Loznica,3.2.1980.,Vojvode Mišića 36,060/6594865,dušan-matić@yahoo.com,199542,28.05.19928-45487,879148151,,91864,aktivan,
84,04032004871016,Tamara,Mitić,muški,43,Sremska Mitrovica,12.3.1975.,Dušanova 151,065/3039338,tamara.mitić79@ptt.rs,113845,04.03.20048-71016,296821126,,65696,aktivan,
85,18071989899996,Marina,Lazić,ženski,30,Požarevac,25.8.1972.,Mihajla Pupina 158,065/0402347,marina.lazić@yahoo.com,228267,18.07.19898-99996,,,69457,aktivan,
86,15101970737901,Dejan,Petrović,ženski,22,Kraljevo,25.8.1975.,Gavrila Principa 166,060/1258685,dejan_petrović@outlook.com,147714,15.10.19707-37901,,,70987,aktivan,Redovan korisnik usluga
87,11042002879611,Marija,Vasić,ženski,42,Smederevo,18.11.1998.,Jovana Cvijića 29,069/3306123,marija_vasić@gmail.com,139584,11.04.20028-79611,,,68487,aktivan,
88,05041950797369,Srđan,Petrović,ženski,36,Prokuplje,6.7.1982.,Kneza Mihaila 23,062/7451286,srđan-petrović14@outlook.com,187830,05.04.19507-97369,774828008,Ministarstvo finansija,83227,aktivan,Redovan korisnik usluga
89,25031961822677,Ana,Vuković,ženski,61,Smederevo,13.2.1975.,Mihajla Pupina 82,065/2119678,ana-vuković48@gmail.com,158615,25.03.19618-22677,,,75208,aktivan,
90,07061968899409,Mladen,Marković,muški,64,Arilje,1.9.1982.,Cara Dušana 16,066/2515495,mladen_marković99@outlook.com,56909,07.06.19688-99409,801311698,,80405,aktivan,
91,06081984786296,Petar,Stanković,muški,27,Smederevo,19.6.2004.,Bulevar revolucije 28,065/0871235,petar-stanković@eunet.rs,108386,06.08.19847-86296,068467556,,96214,neaktivan,Redovan korisnik usluga
92,24091968861671,Miroslav,Milovanović,ženski,69,Novi Pazar,15.3.2003.,Bulevar oslobođenja 46,066/3902407,miroslav-milovanović@yahoo.com,104891,24.09.19688-61671,,,21455,aktivan,
93,11111966806224,Gordana,Marković,ženski,60,Bor,1.4.1988.,Dušanova 125,062/4248947,gordana-marković@ptt.rs,59869,11.11.19668-06224,,,52503,aktivan,
94,21022002824437,Đorđe,Stevanović,ženski,36,Užice,27.9.2004.,Karađorđeva 49,064/8694949,đorđe_stevanović@yahoo.com,164840,21.02.20028-24437,,,22945,neaktivan,
95,13031991838763,Srđan,Stevanović,muški,66,Leskovac,15.10.2006.,Nikole Tesle 75,061/5652405,srđan_stevanović@ptt.rs,63291,13.03.19918-38763,,,78137,aktivan,Redovan korisnik usluga
96,26112002819321,Tijana,Vasiljević,ženski,20,Šabac,16.3.1978.,Kralja Aleksandra 41,060/7064116,tijana.vasiljević27@ptt.rs,218070,26.11.20028-19321,,,40896,neaktivan,
97,13011957878001,Tamara,Simić,ženski,64,Kruševac,25.3.1978.,Nikole Tesle 141,060/7531068,tamara-simić@ptt.rs,202911,13.01.19578-78001,,,23984,aktivan,
98,20081956700977,Gordana,Matić,muški,40,Valjevo,10.5.2002.,Nemaninjina 11,066/6485374,gordana_matić45@eunet.rs,143272,20.08.19567-00977,199813063,,72455,neaktivan,
99,02102005732221,Dejan,Jovanović,ženski,58,Valjevo,15.9.1971.,Bulevar revolucije 139,060/3295885,dejan-jovanović32@eunet.rs,52614,02.10.20057-32221,,Narodna banka Srbije,11427,aktivan,Redovan korisnik usluga
100,02081995706197,Borislav,Vuković,muški,32,Subotica,28.6.2008.,Jovana Cvijića 1,064/9165603,borislav.vuković@gmail.com,118733,02.08.19957-06197,,,36902,aktivan,
101,19102002795351,Dušan,Tomić,muški,20,Pančevo,17.8.1987.,Milana Toplice 141,061/6075689,dušan-tomić42@yahoo.com,201290,19.10.20027-95351,,,25180,neaktivan,Redovan korisnik usluga
102,25061977773611,Ivana,Petrović,muški,59,Požarevac,24.7.1982.,Kralja Aleksandra 65,063/0107330,ivana_petrović4@eunet.rs,132473,25.06.19777-73611,,,29195,aktivan,Redovan korisnik usluga
103,17021957822433,Jelena,Đorđević,ženski,57,Novi Pazar,3.2.2007.,Jovana Cvijića 40,061/4058921,jelena_đorđević@ptt.rs,100899,17.02.19578-22433,,,12603,aktivan,
104,22081952802860,Vladimir,Kostić,muški,58,Arilje,27.7.2002.,Bulevar oslobođenja 161,065/8009708,vladimir_kostić25@gmail.com,104508,22.08.19528-02860,,,72097,neaktivan,
105,06061969717586,Tijana,Radosavljević,muški,48,Novi Sad,28.8.1974.,Mihajla Pupina 26,064/6771863,tijana-radosavljević99@yahoo.com,136454,06.06.19697-17586,,Agencija za privredne registre,27934,aktivan,
106,03081985855757,Gordana,Kostić,muški,29,Pirot,4.9.2007.,Karađorđeva 31,069/2311046,gordana.kostić24@gmail.com,216370,03.08.19858-55757,,,64951,aktivan,Redovan korisnik usluga
107,17081972775228,Biljana,Stanković,muški,49,Subotica,1.8.1993.,Takovska 179,062/9188114,biljana-stanković@yahoo.com,152044,17.08.19727-75228,,,19104,aktivan,
108,15041994744311,Biljana,Milovanović,ženski,36,Novi Pazar,13.11.1989.,Karađorđeva 68,064/0629631,biljana_milovanović24@ptt.rs,115636,15.04.19947-44311,,,68127,aktivan,
109,27051984710211,Jelena,Stamenković,muški,43,Šabac,13.7.2008.,Svetog Save 146,063/6806308,jelena_stamenković@outlook.com,113892,27.05.19847-10211,689061325,,13343,aktivan,
110,13011999708871,Dušan,Gavrilović,muški,25,Pirot,3.2.1991.,Karađorđeva 2,060/6890454,dušan_gavrilović@ptt.rs,190062,13.01.19997-08871,831000901,,74080,aktivan,Redovan korisnik usluga
111,19041969880658,Ivan,Vasić,muški,50,Leskovac,4.7.1981.,Nemaninjina 10,066/0403234,ivan.vasić@eunet.rs,179978,19.04.19698-80658,,Vlada Republike Srbije,14301,aktivan,
112,10012001787913,Snežana,Lazić,ženski,56,Zrenjanin,2.8.1977.,Stevana Sremca 70,064/4858149,snežana_lazić@gmail.com,211700,10.01.20017-87913,,,89353,aktivan,
113,15031961802041,Ivana,Pavlović,muški,41,Sremska Mitrovica,8.8.1978.,Vojvode Mišića 125,061/7862702,ivana_pavlović61@ptt.rs,163192,15.03.19618-02041,076271436,,18578,aktivan,
114,04021957746158,Nikola,Mitić,muški,29,Niš,9.10.1977.,Nikole Tesle 72,061/9576829,nikola-mitić@eunet.rs,55956,04.02.19577-46158,,Poreska uprava,96240,aktivan,
115,23111999897757,Ivan,Stojanović,muški,68,Sremska Mitrovica,15.11.1980.,Princa Evgenija 196,061/4109930,ivan.stojanović@gmail.com,194794,23.11.19998-97757,456156311,,61255,aktivan,Redovan korisnik usluga
116,20101957788631,Željko,Stevanović,muški,42,Leskovac,21.6.2001.,Bulevar oslobođenja 71,062/3563221,željko-stevanović99@eunet.rs,163320,20.10.19577-88631,,,94772,aktivan,
117,26101997866779,Zoran,Filipović,muški,24,Loznica,10.10.1997.,Karađorđeva 200,062/4015642,zoran_filipović30@outlook.com,158776,26.10.19978-66779,,,93905,neaktivan,
118,15011966889524,Branislav,Bošković,ženski,24,Šabac,20.10.1988.,Princa Evgenija 144,063/6683351,branislav.bošković8@yahoo.com,67036,15.01.19668-89524,,,31187,aktivan,
119,10101977760771,Nenad,Kostić,ženski,31,Lučani,10.6.1989.,Milana Toplice 58,069/1125661,nenad_kostić45@outlook.com,135806,10.10.19777-60771,,,26262,aktivan,Redovan korisnik usluga
120,11011982807726,Aleksandar,Gavrilović,muški,57,Subotica,13.8.1985.,Stevana Sremca 4,069/2481683,aleksandar.gavrilović@gmail.com,75966,11.01.19828-07726,442325744,,94427,aktivan,
121,17011971777832,Tamara,Vuković,muški,27,Aranđelovac,9.3.1995.,Nemaninjina 200,064/4549089,tamara_vuković42@outlook.com,202068,17.01.19717-77832,,,43401,aktivan,
122,12082000837641,Tamara,Vuković,muški,35,Vranje,22.5.1988.,Vojvode Mišića 121,064/3993319,tamara-vuković@gmail.com,34689,12.08.20008-37641,,Ministarstvo zdravlja,41462,neaktivan,
123,25071999858476,Miroljub,Kostić,ženski,53,Sombor,14.10.2001.,Stevana Sremca 118,065/2383705,miroljub.kostić@ptt.rs,50705,25.07.19998-58476,004171534,,46246,neaktivan,
124,20071969898702,Ana,Bošković,muški,22,Aranđelovac,1.3.1998.,Takovska 104,062/2441805,ana-bošković33@outlook.com,149229,20.07.19698-98702,996067022,Ministarstvo prosvete,33601,aktivan,
125,17091979866479,Dejan,Lazić,muški,26,Požega,20.10.1999.,Kružni put 111,063/8902655,dejan_lazić22@yahoo.com,202534,17.09.19798-66479,375479439,,66060,aktivan,
126,23011994830337,Zoran,Simić,muški,61,Kruševac,8.2.1986.,Njegoševa 103,069/8149917,zoran-simić91@yahoo.com,189423,23.01.19948-30337,,,36925,aktivan,
127,14071950717807,Mladen,Bošković,muški,22,Loznica,9.7.1992.,Branka Radičevića 70,064/6511053,mladen.bošković46@yahoo.com,155512,14.07.19507-17807,236527927,,93645,neaktivan,
128,13031979730424,Mladen,Stevanović,muški,43,Sombor,15.12.1986.,Kralja Aleksandra 158,061/2188757,mladen_stevanović28@ptt.rs,215573,13.03.19797-30424,054746265,,56110,aktivan,Redovan korisnik usluga
129,04121993718714,Maja,Gavrilović,muški,22,Niš,25.8.1970.,Njegoševa 162,060/4960092,maja.gavrilović@eunet.rs,163143,04.12.19937-18714,,Republički zavod za statistiku,13908,neaktivan,
130,04101991812794,Ana,Rakić,ženski,48,Lučani,1.5.2002.,Takovska 101,061/3421196,ana.rakić@eunet.rs,116103,04.10.19918-12794,475979789,,55488,aktivan,Redovan korisnik usluga
131,22012000848654,Srđan,Milovanović,muški,24,Pančevo,13.2.1989.,Kružni put 135,066/9886765,srđan.milovanović@outlook.com,34405,22.01.20008-48654,,Poreska uprava,27685,aktivan,
132,22011970868168,Željko,Stamenković,muški,39,Novi Pazar,27.9.1978.,Karađorđeva 114,066/3604283,željko_stamenković@outlook.com,72660,22.01.19708-68168,,Republički zavod za statistiku,89426,aktivan,Redovan korisnik usluga
133,12111980773462,Dejan,Stamenković,ženski,33,Kosjerić,17.8.1977.,Dušanova 74,066/0362965,dejan.stamenković@ptt.rs,198096,12.11.19807-73462,,Narodna banka Srbije,44268,aktivan,Redovan korisnik usluga
134,20031987781614,Nebojša,Đorđević,muški,51,Šabac,26.11.1989.,Kružni put 97,069/7434384,nebojša.đorđević@gmail.com,44928,20.03.19877-81614,,,61852,aktivan,
135,19031962870830,Tijana,Savić,muški,49,Čačak,17.3.2008.,Cara Lazara 114,065/4697695,tijana.savić@outlook.com,212427,19.03.19628-70830,2157661110,,27625,aktivan,
136,27061960851869,Dragan,Mitić,ženski,29,Vršac,27.9.1984.,Jovana Cvijića 118,061/8643422,dragan-mitić@outlook.com,210259,27.06.19608-51869,,,40135,aktivan,Redovan korisnik usluga
137,14031952890806,Miloš,Mihajlović,muški,49,Aranđelovac,15.5.1970.,Vojvode Mišića 12,064/8725963,miloš.mihajlović68@outlook.com,85436,14.03.19528-90806,,,80044,aktivan,
138,27081995861232,Jelena,Antonijević,muški,32,Niš,11.5.1990.,Stevana Sremca 68,062/6127911,jelena-antonijević@outlook.com,53867,27.08.19958-61232,,Narodna banka Srbije,42708,aktivan,
